ccode,country,base_year,leader,autocoup_attempt,autocoup_outcome,regime,GDP_pc,GDP_trend,polity5,violence,age,pop_log
2,United States of America,1949,Truman,0,NA,presidential,16.948,0.9605313867289338,9,0,65,9.68685426340218
2,United States of America,1957,Eisenhower,0,NA,presidential,19.669,1.0233610822060355,9,0,67,9.820605384073307
2,United States of America,1962,Kennedy,0,NA,presidential,21.62,1.0691009069061348,9,0,45,9.906492981706004
2,United States of America,1966,Johnson,0,NA,presidential,25.415,1.130198512931801,9,4,58,9.957277624877872
2,United States of America,1971,Nixon,0,NA,presidential,27.914,1.0502118181749778,8,3,58,10.011040617799408
2,United States of America,1975,Ford,0,NA,presidential,29.517,1.0305567387524528,10,0,62,10.049302961740892
2,United States of America,1979,Carter,0,NA,presidential,33.311,1.0826508060322413,10,0,55,10.092054731430899
2,United States of America,1985,Reagan,0,NA,presidential,36.75,1.0849028753616343,10,0,74,10.149024176964282
2,United States of America,1991,G.H.W. Bush,0,NA,presidential,40.38,1.01776424567488,10,0,67,10.207470318843066
2,United States of America,1997,Clinton,0,NA,presidential,45.641,1.0747656949088682,10,0,51,10.283909105647504
2,United States of America,2005,G.W. Bush,0,NA,presidential,53.486,1.0525839335616167,10,3,59,10.367983479698268
2,United States of America,2013,Obama,0,NA,presidential,54.494,1.0229081571359924,10,1,52,10.431561308357644
20,Canada,1953,St. Laurent,0,NA,parliamentary,13.917,1.0523410561974471,10,0,71,7.379820531621195
20,Canada,1960,Diefenbaker,0,NA,parliamentary,15.371,1.031846193091041,10,0,65,7.556506899937287
20,Canada,1965,Pearson,0,NA,parliamentary,18.095,1.1166306695464363,10,0,68,7.65705923301888
20,Canada,1973,Pierre Trudeau,0,NA,parliamentary,23.911,1.1190725798902972,10,0,54,7.782931890338059
20,Canada,1979,Clark,0,NA,parliamentary,27.752,1.0741684019848428,10,0,40,7.8551791072268715
20,Canada,1982,Pierre Trudeau,0,NA,parliamentary,28.19,1.022510464500497,10,0,63,7.887192062958692
20,Canada,1984,Turner,0,NA,parliamentary,29.406,1.0435430639838177,10,0,55,7.911133018319199
20,Canada,1989,Mulroney,0,NA,parliamentary,33.22,1.065870953251837,10,0,50,7.975205707864937
20,Canada,1993,Kim Campbell,0,NA,parliamentary,32.904,1.00289554695358,10,0,46,8.018971470374918
20,Canada,1998,Chretien,0,NA,parliamentary,35.927,1.0535591749118784,10,0,59,8.074618252673838
20,Canada,2005,Paul Martin,0,NA,parliamentary,42.063,1.0666142610812457,10,0,67,8.14100568096677
20,Canada,2010,Harper,0,NA,parliamentary,42.797,0.9984974825833965,10,0,51,8.195409547286108
40,Cuba,1946,Grau San Martin,0,NA,presidential,3.283,1.0690328883099967,3,0,64,6.2907095109242155
40,Cuba,1950,Prio Socarres,0,NA,presidential,3.479,1.041180343568564,3,0,47,6.400695887385026
40,Cuba,1954,Batista,1,Yes,personal,3.551,1.00966733011089,-9,0,53,6.499796063171542
40,Cuba,1983,Castro,0,NA,dominant-party,5.967,1.1380454684162342,-7,0,56,6.961401253645781
40,Cuba,2013,Raul Castro,0,NA,dominant-party,7.829,1.0906937865700752,-7,0,82,7.097895357985263
41,Haiti,1946,Lavaud,0,NA,presidential,2.284,0.9890014722438727,1,0,43,5.7520518683275785
41,Haiti,1948,Estime,0,NA,presidential,2.271,0.9891976653018556,4,0,48,5.775793010632473
41,Haiti,1950,Magloire,1,No,presidential,2.242,0.9842830801650715,-5,0,43,5.800264694625766
41,Haiti,1957,Pierre-Louis,0,NA,military,2.164,0.9690998656515898,4,0,57,5.916794878770952
41,Haiti,1957,Sylvain,0,NA,military,2.164,0.9690998656515898,4,0,48,5.916794878770952
41,Haiti,1957,Cantave,0,NA,military,2.164,0.9690998656515898,4,0,47,5.916794878770952
41,Haiti,1957,Executive council,0,NA,military,2.164,0.9690998656515898,4,0,2956,5.916794878770952
41,Haiti,1957,Cantave,0,NA,military,2.164,0.9690998656515898,4,0,47,5.916794878770952
41,Haiti,1957,Fignole,0,NA,military,2.164,0.9690998656515898,4,0,43,5.916794878770952
41,Haiti,1957,Kebreau,0,NA,military,2.164,0.9690998656515898,4,0,48,5.916794878770952
41,Haiti,1961,"Duvalier, Francois",1,Yes,personal,1.795,0.8607461398292894,-7,0,54,5.979607023718777
41,Haiti,1978,"Duvalier, Jean-Claude",0,NA,personal,2.015,1.0893069521029302,-9,0,27,6.323204174006
41,NA,1987,Namphy,0,NA,military,1.842,0.9504643962848298,-7,0,55,6.521723612382407
41,Haiti,1988,Manigat,0,NA,military,1.821,0.9547027367096571,-7,0,58,6.538565203613684
41,Haiti,1988,Namphy,0,NA,military,1.821,0.9547027367096571,-7,0,56,6.538565203613684
41,Haiti,1989,Avril,0,NA,military,1.783,0.949920085242408,-7,0,51,6.555971212323262
41,Haiti,1990,Abraham,0,NA,military,1.809,0.9798505037374065,-7,0,50,6.58301910457902
41,Haiti,1990,Pascal-Troillet,0,NA,military,1.809,0.9798505037374065,-7,0,47,6.58301910457902
41,Haiti,1991,Aristide,0,NA,presidential,1.791,0.9802955665024631,-7,1,38,6.605315512133124
41,Haiti,1993,Cedras,0,NA,military,1.585,0.8900494159928122,-7,0,44,6.640165987806229
41,Haiti,1995,Aristide,0,NA,presidential,1.543,0.9219646271510515,6,0,42,6.6853814313700175
41,Haiti,1998,Preval,0,NA,presidential,1.65,1.0521617140670831,7,0,55,6.7537295913430295
41,Haiti,2002,Aristide,0,NA,personal,1.645,0.9883441480413363,-2,0,49,6.829774277863628
41,NA,2005,Boniface Alexandre,0,NA,presidential,1.569,0.9558913122943828,5,1,69,6.879450450187152
41,Haiti,2008,Preval,0,NA,presidential,1.608,1.011066398390342,5,0,65,6.9284339929904935
41,Haiti,2013,Martelly,0,NA,presidential,1.644,1.0177045932895876,5,0,52,6.989831916816659
41,Haiti,2016,Evans Paul,0,NA,presidential,1.689,1.0240087304474355,5,0,61,7.035093407879641
41,Haiti,2016,Jocelerme Privert,0,NA,presidential,1.689,1.0240087304474355,5,0,63,7.035093407879641
41,Haiti,2019,Jovenel Moise,0,NA,presidential,1.656,0.9845422116527943,NA,0,51,7.055781240958366
42,Dominican Republic,1952,Rafel Trujillo,1,Yes,personal,2.145,1.0414643620120412,-9,0,61,5.597080318660593
42,Dominican Republic,1961,Balaguer,0,NA,personal,2.456,1.039796782387807,-3,0,54,5.887744352055089
42,NA,1962,Echavarria,0,NA,presidential,2.625,1.095118898623279,-3,0,37,5.931780888696593
42,NA,1962,Filiberto Bonnelly,0,NA,presidential,2.625,1.095118898623279,-3,0,58,5.931780888696593
42,Dominican Republic,1963,Bosch,0,NA,presidential,2.708,1.1044045676998369,-3,0,54,5.968881457907724
42,Dominican Republic,1963,de los Santos,0,NA,presidential,2.708,1.1044045676998369,-3,0,60,5.968881457907724
42,Dominican Republic,1964,Cabral,0,NA,military,2.715,1.0771244941680551,-3,0,41,5.9977348476213415
42,Dominican Republic,1965,Molina Urena,0,NA,military,2.574,0.9946672849524691,-3,2,44,6.020260922853967
42,Dominican Republic,1965,Bartolome Benoit,0,NA,military,2.574,0.9946672849524691,-3,2,44,6.020260922853967
42,Dominican Republic,1965,Berreras,0,NA,military,2.574,0.9946672849524691,-3,2,45,6.020260922853967
42,Dominican Republic,1966,Godoy,0,NA,personal,2.61,0.9978589998470713,-3,0,45,6.052185634859664
42,Dominican Republic,1972,Balaguer,0,NA,personal,3.602,1.243612760668416,-3,0,65,6.231343280817914
42,Dominican Republic,1980,Guzman Fernandez,0,NA,presidential,4.724,1.0676671337522037,5,0,69,6.426085463645232
42,Dominican Republic,1982,Majluta Azar,0,NA,presidential,4.934,1.0680578405056715,5,0,48,6.472476116058261
42,Dominican Republic,1984,Blanco,0,NA,presidential,4.964,1.0302602631688182,5,0,58,6.513277587530082
42,Dominican Republic,1991,Balaguer,0,NA,presidential,5.221,1.0109204972311505,5,0,84,6.648922371925955
42,Dominican Republic,1998,Fernandez Reyna,0,NA,presidential,7.337,1.16823769186676,8,0,45,6.776147748832565
42,Dominican Republic,2002,Hipolito Mejia,1,No,presidential,8.27,1.0902235815228853,8,0,61,6.833756685461739
42,Dominican Republic,2008,Fernandez Reyna,0,NA,presidential,10.421,1.1533778997697892,8,0,55,6.913018404406988
42,Dominican Republic,2015,Medina,1,Yes,presidential,13.393,1.1377189554698517,8,0,64,6.996554307170805
51,Jamaica,1964,Bustamante,0,NA,parliamentary,5.375,1.081053901850362,10,0,80,5.217421795289723
51,Jamaica,1967,Sangster,0,NA,parliamentary,5.625,1.0525823353293413,10,0,56,5.2689657928331775
51,Jamaica,1969,Shearer,0,NA,parliamentary,5.996,1.0788441469646264,10,0,46,5.294419780819323
51,Jamaica,1976,Manley,0,NA,parliamentary,6.225,0.9206945512630894,10,0,52,5.402312450428035
51,Jamaica,1984,Seaga,0,NA,parliamentary,4.806,0.9539121114683816,10,0,54,5.494956765423931
51,Jamaica,1990,Manley,0,NA,parliamentary,5.911,1.159110518472037,10,0,66,5.533895289642423
51,Jamaica,1999,Patterson,0,NA,parliamentary,6.556,0.9965949166970691,9,0,64,5.62745203464938
51,Jamaica,2006,Simpson-Miller,0,NA,parliamentary,7.262,1.0581378405944921,9,0,61,5.677948294058279
51,Jamaica,2009,Golding,0,NA,parliamentary,7.143,0.9921384521362298,9,0,62,5.687754713579004
51,Jamaica,2011,Holness,0,NA,parliamentary,7.077,0.9804383364273642,9,0,39,5.694418771703235
51,Jamaica,2014,Simpson-Miller,0,NA,parliamentary,7.112,1.0038958839139518,9,0,69,5.705707287681164
52,Trinidad and Tobago,1971,Williams,0,NA,parliamentary,11.753,1.0603764052039915,4,0,60,4.62062021721153
52,Trinidad and Tobago,1984,Chambers,0,NA,parliamentary,15.977,0.8811299110983654,7,0,56,4.814498748268573
